GO:0004866	endopeptidase inhibitor activity	11287;11625;12266;13010;13014;15139;16644;17836;17837;19703;20700;20701;20702;20703;20704;20861;20862;30052;53614;56207;58214;59025;59083;94175;209294;232345;232400;235505;385643;
GO:0004867	serine-type endopeptidase inhibitor activity	11287;11606;11699;11820;11905;12258;12401;12406;12836;15160;16424;16425;16426;16427;16625;17836;17837;18550;18787;18788;18816;20248;20317;20568;20700;20701;20702;20703;20704;20706;20707;20708;20709;20710;20713;20714;20715;20716;20717;20719;20720;20723;20724;20725;20726;20730;20731;20732;20733;21788;21789;23980;30052;50766;53614;66222;66957;67701;67866;67931;68054;68348;69982;71856;71869;71907;72432;74069;75526;76400;77424;78239;78242;78709;93806;94175;97848;116872;170721;192200;194604;209351;209378;213945;215001;217847;232345;232400;235505;238393;238395;238568;241196;241197;268591;271047;277343;278507;282663;319433;328971;331535;380780;380839;381286;383548;394252;408190;408198;433178;433180;433181;433502;435350;544923;628900;100034251;100038417;100042855;
GO:0005576	extracellular region	11287;11354;11421;11423;11425;11450;11491;11504;11516;11535;11537;11568;11571;11572;11576;11595;11596;11600;11601;11602;11604;11605;11606;11625;11657;11698;11699;11704;11722;11727;11730;11731;11801;11806;11807;11808;11812;11814;11815;11816;11818;11875;11876;11905;11994;11998;12007;12010;12032;12038;12064;12095;12096;12097;12111;12153;12154;12155;12156;12159;12160;12161;12162;12163;12164;12165;12223;12258;12259;12260;12261;12262;12263;12266;12268;12269;12279;12306;12310;12321;12332;12348;12353;12362;12363;12401;12404;12405;12424;12475;12481;12490;12499;12509;12512;12527;12554;12587;12613;12622;12627;12628;12630;12640;12643;12652;12653;12654;12655;12659;12661;12667;12759;12796;12810;12813;12814;12815;12816;12818;12819;12821;12822;12823;12824;12825;12826;12827;12828;12829;12831;12832;12833;12834;12835;12836;12837;12839;12840;12842;12843;12845;12847;12854;12870;12873;12876;12918;12919;12931;12944;12945;12950;12977;12981;12985;12990;12991;12992;12993;12994;13003;13004;13010;13011;13012;13013;13019;13024;13030;13033;13035;13052;13138;13179;13214;13215;13216;13218;13219;13221;13222;13229;13230;13231;13232;13233;13234;13235;13236;13238;13239;13240;13241;13242;13243;13363;13380;13406;13419;13421;13437;13482;13507;13516;13590;13601;13602;13607;13612;13614;13615;13616;13636;13706;13717;13722;13801;13837;13848;13856;13857;13863;13874;14038;14058;14060;14061;14067;14068;14069;14071;14089;14102;14103;14114;14115;14118;14119;14130;14133;14134;14161;14164;14165;14166;14168;14169;14170;14171;14172;14173;14174;14175;14176;14177;14178;14179;14180;14181;14183;14190;14205;14219;14221;14256;14264;14268;14275;14308;14313;14314;14419;14423;14456;14459;14468;14473;14526;14560;14561;14562;14563;14566;14573;14588;14590;14595;14599;14600;14601;14603;14607;14663;14683;14714;14733;14734;14735;14751;14756;14766;14778;14780;14824;14825;14827;14862;14915;14916;14938;14962;15139;15160;15191;15200;15235;15245;15289;15381;15439;15442;15450;15451;15458;15505;15516;15530;15586;15874;15891;15925;15945;15962;15964;15965;15967;15969;15972;15976;15977;15978;16000;16002;16005;16006;16007;16008;16009;16010;16011;16012;16019;16068;16069;16136;16147;16153;16156;16159;16160;16163;16165;16168;16169;16170;16171;16173;16175;16176;16177;16178;16180;16181;16183;16187;16189;16190;16191;16193;16194;16196;16198;16199;16201;16322;16323;16324;16325;16326;16333;16334;16336;16424;16425;16426;16427;16429;16432;16483;16541;16542;16545;16591;16621;16625;16644;16763;16770;16772;16773;16774;16775;16776;16777;16779;16780;16782;16803;16816;16819;16820;16821;16840;16841;16846;16847;16852;16854;16858;16859;16866;16878;16880;16891;16948;16949;16950;16952;16956;16963;16975;16992;16997;16998;17002;17022;17063;17082;17084;17087;17105;17110;17150;17160;17174;17175;17180;17181;17182;17183;17194;17195;17221;17224;17228;17229;17231;17242;17288;17304;17311;17313;17319;17329;17381;17384;17385;17386;17390;17391;17392;17393;17394;17395;17695;17700;17831;17836;17837;17842;17843;17844;17926;17965;17986;18049;18054;18073;18074;18119;18121;18133;18145;18155;18158;18159;18183;18188;18205;18208;18209;18220;18231;18232;18249;18256;18295;18300;18383;18405;18406;18413;18419;18429;18489;18491;18542;18549;18550;18552;18571;18590;18591;18605;18606;18610;18619;18636;18646;18654;18703;18716;18775;18776;18778;18779;18781;18782;18784;18787;18788;18791;18792;18793;18811;18812;18814;18815;18816;18829;18830;18843;18946;18947;18950;18976;18979;19011;19039;19063;19064;19073;19109;19110;19111;19112;19113;19114;19123;19128;19131;19142;19143;19144;19152;19156;19194;19197;19206;19215;19227;19242;19283;19288;19661;19662;19692;19693;19694;19695;19699;19701;19702;19711;19733;19752;19773;20129;20147;20194;20196;20198;20200;20201;20202;20203;20208;20209;20210;20211;20219;20234;20254;20255;20256;20284;20287;20290;20292;20293;20296;20297;20299;20300;20301;20302;20303;20304;20305;20306;20307;20308;20309;20310;20311;20312;20315;20316;20317;20319;20346;20347;20348;20349;20350;20363;20370;20377;20378;20379;20388;20389;20390;20394;20409;20415;20431;20440;20442;20444;20562;20563;20564;20568;20597;20599;20600;20604;20612;20617;20655;20657;20660;20692;20700;20701;20702;20703;20704;20713;20714;20716;20717;20719;20720;20724;20730;20731;20732;20745;20750;20770;20855;20856;20890;20941;20944;20945;20969;20971;21333;21334;21452;21667;21683;21684;21687;21755;21756;21784;21785;21786;21788;21789;21802;21803;21808;21809;21810;21814;21819;21825;21826;21827;21828;21832;21857;21858;21859;21892;21906;21922;21923;21926;21936;21939;21943;21944;21946;21947;21960;21984;22024;22041;22042;22044;22072;22094;22139;22141;22156;22157;22158;22166;22226;22242;22264;22283;22287;22339;22340;22341;22353;22370;22371;22373;22402;22403;22408;22409;22410;22411;22412;22413;22414;22415;22416;22417;22418;22419;22420;22421;22422;22423;22436;22608;22786;22787;22788;23792;23794;23795;23829;23844;23863;23876;23886;23888;23892;23893;23919;23928;23948;23963;23993;24087;24099;24111;24117;26360;26363;26366;26565;26968;26970;26971;27047;27052;27220;27226;27356;27358;27372;27390;27762;27999;28078;28106;29817;29820;29877;30052;30060;30800;30806;30878;30924;50498;50501;50528;50530;50706;50722;50766;50781;50905;50908;50929;50930;52020;52793;53322;53324;53378;53379;53419;53603;53604;54003;54137;54156;54192;54381;54426;54447;54448;54450;54612;54615;54635;55938;55948;55985;55987;56047;56069;56092;56094;56096;56177;56183;56213;56221;56264;56299;56318;56373;56401;56410;56429;56519;56538;56629;56635;56636;56640;56693;56708;56734;56744;56745;56746;56788;56811;56838;56839;56872;57262;57263;57264;57266;57277;57278;57319;57329;57390;57426;57757;57764;57875;57890;57895;57914;58181;58210;58214;58223;58803;58809;58859;58860;58991;58992;59027;59083;60505;60531;63859;64074;64075;64335;64339;64654;64661;64706;64817;65113;65116;65945;65960;65972;66042;66107;66113;66208;66222;66283;66284;66289;66294;66298;66350;66392;66438;66455;66473;66548;66549;66557;66650;66687;66695;66705;66824;66848;66901;67112;67133;67135;67305;67310;67328;67389;67405;67445;67477;67505;67573;67606;67610;67666;67690;67701;67703;67709;67717;67719;67781;67795;67866;67896;67912;67929;67931;67935;67946;67963;68038;68039;68054;68070;68169;68221;68223;68311;68316;68348;68460;68509;68527;68553;68567;68588;68662;68675;68709;68792;68797;68861;68888;69032;69036;69060;69121;69146;69183;69216;69286;69294;69318;69362;69376;69379;69444;69462;69478;69541;69542;69573;69583;69592;69638;69675;69677;69683;69770;69816;69836;69982;70008;70045;70083;70144;70163;70166;70370;70433;70451;70536;70561;70564;70575;70726;70945;70967;70993;71355;71395;71421;71425;71436;71564;71660;71687;71690;71693;71738;71756;71768;71775;71785;71791;71856;71884;71907;71927;71946;71951;72014;72113;72141;72432;72503;72514;72585;72709;72713;72780;72832;72902;73106;73205;73230;73327;73368;73388;73467;73670;73690;73712;73940;74069;74116;74145;74186;74188;74199;74245;74359;74468;74499;74511;74577;74617;74649;74840;75019;75396;75400;75426;75458;75512;75526;75596;75622;75641;75718;75905;76293;76399;76453;76457;76477;76486;76507;76527;76560;76606;76737;76792;76898;76905;76943;76965;77018;77041;77125;77424;77583;77673;77674;77684;77701;77704;77727;77739;77794;78076;78239;78240;78242;78369;78405;78408;78558;78609;78634;78709;78753;78772;78892;78896;79202;80733;80752;80857;80898;80903;80908;80982;81007;81600;81701;81799;81877;83380;83428;83430;83433;83453;83485;83554;83691;83768;83961;83964;83965;83995;83996;84004;84506;85031;85305;93670;93671;93672;93721;93735;94175;94214;94227;94242;94352;96875;97165;99571;99663;100102;100340;100470;100689;100952;101744;103161;103978;104009;104079;104183;105298;105450;106014;106522;106672;107250;107581;107831;107849;108075;108078;108151;108153;109267;109323;109648;109685;109697;109791;109820;109821;109901;110075;110135;110187;110312;110382;110595;110789;114249;114640;114652;114661;114662;114664;116746;116847;116849;117158;117586;140474;140703;140709;170458;170721;170834;171285;171530;192199;192200;192201;192654;192970;192986;193813;194597;207596;208164;208659;208748;208777;208936;208990;209224;209268;209351;209378;209558;209588;210029;210094;210622;211323;211739;212108;212933;213171;213262;213350;213469;213945;214189;214305;214425;214505;214639;214685;214766;215001;215257;215274;215378;215615;216169;216616;216725;216795;216797;216799;217071;217116;217212;217674;217847;218877;219033;223272;223626;223780;223809;223838;224065;224116;224697;224727;225443;225642;225922;226016;226243;226359;226519;226841;226866;227358;227526;227580;227627;227717;227753;228413;228756;228770;228796;228801;228942;229389;229588;229595;229600;229687;229688;229759;230396;230405;230558;230868;230899;230971;231382;232345;232371;232400;232585;232680;232717;232836;232925;232983;233090;233099;233271;233744;234130;234199;234542;234677;234836;235130;235312;235379;235505;235628;235973;236082;236690;237310;237360;238055;238057;238328;239126;239188;239337;239405;239447;239611;239659;239691;239759;239790;239852;240322;240334;240633;240675;240843;240913;241327;242050;242100;242316;242519;242557;242603;242608;242939;243083;243084;243168;243369;243853;243862;243912;243914;243967;244152;244199;244218;244332;244334;244550;244723;244757;244853;244954;245026;245050;245195;246079;246080;246081;246082;246083;246084;246085;246190;246228;246316;246691;246700;246703;246707;246779;252974;257630;259277;259301;260301;260408;263764;266614;266620;268373;268591;268780;268935;268977;269033;269120;269181;269423;269784;269823;269855;269941;270757;271047;271127;271970;277343;277432;278203;278507;279028;280635;280662;282619;317653;317677;319504;319552;319579;319804;319875;319909;319922;320027;320078;320181;320202;320265;320343;320454;320460;320701;320706;320736;320924;320981;326623;327743;327747;327956;328232;328401;328788;329093;329244;329278;329547;329731;329872;329941;330122;330260;330267;330470;330483;330496;330657;330723;330790;330921;331046;331535;332427;332578;333088;333315;333883;338352;338374;338417;353130;353156;353172;353287;353320;360211;360212;360214;360217;368202;373864;378700;380698;380732;380780;380924;381399;381530;381633;381667;381677;381970;382059;384009;384061;384585;384589;384997;385643;386463;387334;387510;396184;399558;403395;407800;408190;408198;433102;433180;433181;433292;433375;433502;434676;435845;442835;493583;494519;497071;497106;497113;503491;544717;545260;545291;545370;619517;619548;620393;624219;625018;626305;626708;628870;628991;629754;629761;634929;641361;654453;654458;654459;654460;654470;654498;654812;665033;665700;666279;666704;667034;668381;100037283;100038417;100038489;100038570;100038882;100039206;100039672;100043254;100043355;100043376;100043388;100043860;100043868;100043899;100294583;100312956;100504362;
GO:0005615	extracellular space	11287;11421;11423;11450;11486;11487;11489;11490;11491;11502;11516;11535;11537;11538;11568;11571;11572;11576;11593;11595;11596;11600;11601;11602;11603;11604;11605;11606;11625;11647;11657;11674;11677;11692;11699;11705;11722;11727;11747;11754;11801;11806;11807;11808;11813;11814;11815;11816;11818;11820;11839;11846;11876;11883;11886;11905;11990;11994;11998;12007;12010;12032;12038;12064;12091;12095;12096;12097;12111;12153;12154;12155;12156;12159;12160;12161;12162;12163;12164;12165;12223;12258;12259;12260;12261;12262;12263;12266;12268;12274;12279;12304;12306;12310;12317;12331;12332;12349;12353;12359;12401;12405;12406;12424;12460;12475;12495;12497;12512;12554;12613;12622;12623;12628;12630;12631;12652;12654;12667;12759;12771;12796;12799;12803;12814;12816;12818;12819;12822;12824;12825;12826;12827;12831;12832;12833;12834;12835;12837;12842;12843;12845;12847;12870;12873;12874;12876;12915;12918;12919;12931;12944;12945;12977;12981;12985;12990;12991;12992;12993;12994;13003;13010;13011;13012;13013;13014;13019;13030;13032;13033;13035;13036;13038;13039;13040;13041;13052;13118;13138;13166;13167;13179;13184;13202;13214;13216;13218;13219;13221;13222;13226;13229;13230;13231;13232;13233;13234;13235;13236;13237;13238;13239;13240;13241;13242;13243;13380;13386;13516;13529;13590;13601;13602;13614;13615;13616;13645;13646;13647;13648;13706;13722;13805;13852;13856;13861;13863;13867;13874;13884;13897;13909;14061;14066;14067;14068;14069;14071;14077;14089;14102;14103;14109;14114;14115;14118;14123;14161;14164;14165;14173;14178;14179;14180;14205;14219;14221;14254;14256;14264;14268;14308;14313;14314;14419;14456;14459;14466;14473;14526;14537;14559;14560;14561;14562;14563;14566;14573;14585;14588;14590;14595;14598;14599;14600;14601;14603;14607;14714;14725;14729;14735;14751;14756;14778;14780;14824;14825;14827;14962;15007;15122;15139;15160;15191;15200;15212;15216;15234;15235;15289;15439;15446;15450;15458;15510;15530;15586;15874;15891;15894;15925;15945;15962;15964;15965;15967;15968;15969;15970;15972;15974;15976;15977;15978;16000;16002;16004;16006;16007;16008;16009;16010;16011;16012;16016;16017;16019;16020;16068;16069;16142;16153;16156;16159;16160;16163;16168;16170;16171;16173;16175;16176;16177;16180;16181;16183;16187;16189;16190;16191;16193;16194;16195;16196;16198;16322;16323;16324;16325;16326;16333;16334;16336;16409;16425;16432;16527;16541;16545;16590;16591;16612;16613;16615;16616;16617;16618;16619;16621;16622;16623;16624;16625;16644;16770;16772;16773;16775;16776;16777;16779;16782;16784;16790;16803;16816;16819;16835;16846;16847;16852;16854;16855;16858;16866;16867;16878;16880;16890;16891;16948;16949;16950;16952;16956;16963;16975;16979;16980;16981;16992;16994;16997;17002;17022;17025;17063;17082;17105;17110;17158;17159;17160;17174;17175;17181;17194;17195;17224;17225;17227;17228;17229;17231;17232;17233;17289;17295;17304;17311;17313;17319;17329;17381;17386;17387;17390;17392;17393;17394;17395;17523;17700;17766;17829;17833;17836;17837;17840;17841;17842;17843;17926;17965;17986;18048;18049;18050;18054;18073;18074;18119;18121;18126;18133;18158;18159;18183;18205;18220;18261;18295;18300;18377;18383;18405;18406;18407;18413;18429;18484;18489;18491;18537;18542;18548;18549;18552;18553;18590;18591;18605;18606;18613;18643;18646;18654;18655;18690;18703;18716;18775;18776;18778;18787;18788;18791;18792;18811;18812;18814;18815;18816;18829;18830;18843;18946;18947;18976;18979;19039;19063;19064;19109;19110;19111;19112;19113;19114;19123;19126;19128;19143;19152;19156;19197;19215;19223;19226;19227;19241;19242;19270;19283;19288;19661;19662;19692;19693;19694;19695;19699;19701;19702;20147;20196;20201;20202;20203;20208;20209;20210;20211;20219;20248;20254;20256;20287;20290;20292;20293;20295;20296;20297;20299;20300;20302;20303;20304;20305;20306;20307;20308;20309;20310;20311;20312;20315;20317;20319;20339;20344;20346;20347;20348;20349;20350;20351;20352;20353;20354;20355;20356;20357;20361;20363;20370;20377;20378;20379;20387;20388;20389;20390;20423;20562;20563;20564;20568;20597;20604;20617;20655;20657;20660;20692;20700;20701;20702;20703;20704;20706;20707;20708;20709;20710;20713;20714;20715;20716;20717;20719;20720;20723;20724;20725;20726;20730;20737;20745;20750;20855;20890;20909;20939;21333;21452;21667;21755;21756;21784;21785;21786;21788;21802;21803;21808;21809;21810;21814;21819;21824;21825;21826;21828;21832;21857;21858;21859;21922;21923;21926;21930;21937;21939;21942;21943;21944;21946;21947;21948;21949;21950;22018;22024;22035;22041;22042;22070;22072;22073;22074;22094;22139;22164;22240;22242;22287;22329;22339;22340;22341;22359;22361;22362;22363;22364;22370;22371;22402;22403;22408;22409;22410;22411;22412;22413;22414;22415;22416;22417;22418;22419;22420;22421;22422;22423;22436;22788;23794;23795;23855;23863;23876;23886;23892;23893;23980;23993;24047;24099;24111;26360;26362;26363;26365;26456;26464;26565;26898;26944;26945;26968;27047;27220;27226;27358;27372;27390;27999;28078;28106;28194;29817;30052;30053;30060;30878;30924;30937;30943;50498;50530;50701;50706;50722;50781;50908;50909;50929;50930;51801;52020;52023;52793;53322;53357;53381;53603;54003;54381;54393;54426;54448;54450;54612;54615;54635;55938;55985;55987;56047;56066;56069;56092;56094;56177;56213;56221;56264;56318;56373;56410;56429;56464;56519;56635;56636;56693;56708;56744;56745;56753;56788;56811;56835;56838;56839;56872;57256;57262;57263;57264;57266;57277;57319;57349;57875;58181;58200;58214;58223;58518;58809;58859;58991;58992;59012;59027;59083;60505;64138;64139;64339;64654;64661;64706;64817;65945;65956;65960;66042;66102;66107;66113;66116;66208;66222;66283;66284;66289;66294;66298;66392;66438;66650;66848;66857;66890;66901;66957;67000;67205;67213;67248;67272;67310;67328;67373;67389;67412;67445;67505;67537;67573;67652;67709;67795;67838;67860;67866;67868;67896;67931;67935;67963;68009;68024;68038;68054;68119;68171;68195;68348;68404;68527;68588;68617;68662;68668;68792;68861;68888;69032;69049;69060;69146;69183;69286;69294;69362;69363;69379;69444;69573;69583;69585;69592;69675;69677;69814;69982;70008;70031;70045;70083;70163;70202;70530;70574;70809;71395;71436;71660;71693;71753;71775;71785;71791;71853;71869;71884;71903;71907;71920;72043;72361;72709;72713;72902;73106;73205;73230;73244;73336;73340;73381;73626;73690;73712;73720;73732;74008;74069;74116;74180;74188;74306;74499;74511;74577;74649;74840;75409;75426;75458;75502;75596;75622;75704;75906;76113;76282;76293;76399;76413;76453;76507;76527;76560;76703;76737;76770;76905;76943;76965;77018;77125;77397;77424;77705;78081;78240;78369;78405;78416;78609;78634;78709;78892;78896;78935;80749;80752;81007;81600;81799;81877;81897;83428;83430;83554;83691;83961;83964;83995;83997;84004;84506;85031;85305;93670;93672;93673;93674;93721;93735;93806;93835;94227;94242;94352;96875;97165;97487;97848;99571;100102;100340;100689;100952;101401;102022;102545;103161;103964;103979;103980;104002;104009;104158;104436;105298;105450;107831;107849;108004;108005;108075;108151;108153;108671;109267;109323;109579;109580;109648;109697;109786;109820;109821;109901;109959;110006;110075;110135;110166;110173;110257;110312;110382;110595;114228;114249;114661;114662;116746;116847;116849;116872;117066;140474;171530;192199;192654;192662;194357;194604;195297;208659;208990;209294;209351;210029;210622;211323;212933;213684;214425;214639;215015;215028;215029;215257;215274;215615;216616;216725;216795;217212;217674;217847;218275;218877;219033;223272;223838;225642;225875;226519;227358;227526;227638;227753;228756;228801;228942;229445;229595;229759;230396;230398;230405;230558;230899;231887;232065;232345;232371;232400;232680;232925;232983;233067;233090;233744;234130;234564;234669;234671;234673;234677;234700;234836;235106;235130;235312;235379;235402;235505;235628;235952;235973;236047;237403;237759;238055;238057;238205;238328;238393;238395;238568;239114;239250;239447;239659;239759;239790;240675;240725;240873;240913;241196;241197;241528;242316;242384;242517;242519;242608;242711;242735;242939;243420;243423;243428;243431;243433;243439;243451;243453;243461;243853;243914;244152;244218;244332;244334;244595;245195;245446;245450;246080;246154;246316;246703;246707;246735;246779;257630;259277;260408;266632;268373;268591;268935;268977;269823;269855;270757;271047;272643;277146;277753;278203;278507;279028;280287;280662;282663;317653;317677;319146;319179;319180;319181;319184;319185;319190;319259;319433;319552;319922;320078;320202;320355;320460;320706;320747;320913;320924;326623;328483;328780;328971;329093;329244;329547;329659;329731;330119;330122;330470;330483;330496;330921;331535;333088;333883;338352;338374;353130;353156;353287;368202;380698;380780;380795;380839;380924;381286;381493;381677;381776;381777;381778;381782;381783;381831;381970;382000;382044;382053;382059;383548;384009;384410;384411;384514;384515;385047;385109;385120;385253;385291;385643;386446;386463;386750;387510;394252;396184;399558;403395;404549;404711;404743;407800;408198;432867;433107;433178;433181;433375;434025;434028;434031;434033;434034;434040;434041;434586;434685;435350;435791;435900;436059;436468;436522;436523;436539;436545;493583;494519;497114;503491;541307;541610;544923;545055;545645;545646;545647;545648;545649;545650;545651;545652;545653;545654;545655;545848;545849;545850;546213;546244;547329;547424;574081;619517;619846;620017;620050;620088;620105;620126;620191;620240;620297;625018;626545;626583;626682;626708;626834;627394;628027;628072;628268;628516;628541;628571;628900;630086;634825;636752;640340;654453;654465;654470;654836;665927;666317;667277;667435;667449;667481;667542;667550;667681;667683;667754;667859;667865;667899;667924;668200;668208;692161;692182;692187;724035;100037283;100038417;100038489;100038927;100039672;100040035;100040208;100040233;100041688;100041759;100041787;100041811;100041895;100041952;100042150;100042444;100042493;100042621;100042855;100043177;100043197;100043218;100043270;100043300;100043322;100043899;100101491;100101942;100113413;100126451;100126459;100126463;100126464;100126465;100126765;100126766;100126768;100126773;100126774;100126775;100126776;100126777;100126778;100126779;100294660;100503545;100503605;100503895;100503970;100504232;100504362;101488143;
GO:0007566	embryo implantation	11287;12305;12550;13731;13852;13856;14228;14824;15018;15081;15235;15373;16365;16601;16777;16878;17390;17395;17836;18552;19015;19223;19225;20017;20181;20655;21679;21849;23968;53614;67968;69865;70093;75909;93760;114661;114662;243897;245000;383491;387139;387161;387218;387244;387245;387246;387247;546118;665780;723962;723965;723966;
GO:0010466	negative regulation of peptidase activity	11287;11699;11799;11820;11905;12211;12258;12380;12836;13010;13011;13012;13013;13014;13601;14038;14734;15160;16424;16425;16426;16427;16625;16644;17035;17836;17837;17940;18049;18054;18787;18788;18816;20248;20568;20701;20702;20704;20713;20714;20715;20716;20717;20719;20720;20725;20730;20731;20732;20733;20862;21788;21789;21857;21858;21859;22373;23980;53614;59083;66222;66957;67701;67866;67931;68054;68348;69294;69362;69982;71856;71869;71907;72902;74069;74116;75526;76400;78239;78240;78242;78609;78709;94227;110595;116872;170721;192200;209294;209351;209378;213945;215001;217847;228756;232345;232400;235505;238393;241196;268591;271047;277343;278507;282663;328971;329581;380780;380839;394252;408190;408198;433180;433181;433502;100038417;100043899;
GO:0030414	peptidase inhibitor activity	11287;11699;11799;11820;11905;12211;12258;12380;12836;13010;13011;13012;13013;13014;14038;14734;15160;16424;16425;16426;16427;16625;16644;17035;17836;17837;17940;18049;18054;18787;18788;18816;20568;20701;20702;20704;20713;20714;20715;20716;20717;20719;20720;20725;20730;20731;20732;20733;20862;21788;21789;21857;21858;21859;22373;23980;30939;52020;53614;59083;66107;66222;66957;67701;67866;67931;68054;68221;68348;69294;69362;69982;71856;71869;71907;72432;72902;74069;74116;75526;76400;78239;78240;78242;78609;78709;94227;110595;116872;170721;192200;192201;209294;209351;209378;213945;215001;217847;228756;232345;232400;235505;238393;241196;268591;271047;277343;278507;282663;328971;329581;380780;380839;408190;408198;433180;433181;433502;100038417;100043899;
GO:0032403	protein complex binding	11287;11308;11555;11749;11771;11772;11785;11789;11792;11867;11908;11920;11972;11994;12009;12028;12039;12040;12048;12116;12265;12332;12361;12367;12370;12387;12391;12443;12447;12488;12512;12558;12566;12567;12572;12575;12576;12606;12613;12633;12662;12757;12759;12874;12921;12955;13006;13017;13030;13036;13039;13162;13194;13385;13427;13429;13430;13488;13982;14082;14083;14102;14118;14182;14255;14360;14672;14681;14682;14688;14693;14696;14725;14810;14811;14815;15163;15165;15166;15205;15251;15275;15510;15525;15558;15894;16211;16334;16337;16398;16403;16408;16412;16413;16414;16438;16531;16551;16568;16572;16653;16669;16691;16780;16818;16898;16971;16981;17075;17096;17187;17295;17319;17392;17395;17711;17755;17762;17769;17869;17921;17974;17977;17978;17979;17992;18023;18035;18045;18121;18176;18195;18472;18518;18519;18549;18595;18604;18609;18674;18733;18747;19013;19014;19045;19047;19052;19122;19128;19206;19229;19230;19262;19268;19303;19357;19384;19664;19697;19712;19739;19766;19894;20085;20088;20091;20130;20181;20218;20336;20416;20430;20466;20472;20482;20505;20586;20602;20620;20740;20742;20779;20787;20869;20977;21410;21812;21819;21833;21894;21937;21969;22030;22088;22095;22097;22099;22141;22154;22158;22230;22241;22273;22318;22333;22346;22350;22427;22627;22631;23789;23880;23957;24061;24088;26431;26459;26941;27050;27061;27374;28080;29810;29875;29876;30948;50791;50873;50884;50927;53331;53424;53817;54169;54401;56420;56421;56438;56506;56508;56520;56532;56551;56724;56734;56802;58186;59020;60595;60597;63830;66043;66108;66437;66513;66576;66694;66725;66914;66971;66977;67003;67466;67673;67923;68118;68375;68566;68581;68585;68732;69259;69260;69379;69601;69723;70356;70382;71382;71602;71609;71709;71718;71745;71955;71978;71991;72289;72542;72844;72930;73340;74006;74043;74370;74568;75734;75782;76332;76375;76507;76709;77573;78473;79264;80280;81601;83431;83762;83767;84095;93730;94186;94284;97212;97387;99412;101314;101706;101943;104015;105377;105855;106025;107747;107986;108124;109905;110382;110935;116871;140474;170790;192176;208092;213233;214444;215449;216805;216853;216869;216963;217124;217365;217692;217866;218038;218397;218772;219150;223690;223780;224824;224997;226151;226720;227231;228026;230558;230959;231086;232906;233900;234695;235623;236732;238021;238276;238988;239796;242687;243725;243961;244667;268697;268980;269523;270190;277854;319924;319955;320713;327814;328572;329165;381511;394435;433759;100503872;
GO:0048403	brain-derived neurotrophic factor binding	11287;15114;18212;232345;320027;
GO:0048406	nerve growth factor binding	11287;18053;18205;18211;18550;18553;20661;21941;79201;79202;232345;244237;
